region,age,ageCount,classification
Wales,52,43587,Rural
Wales,53,42985,Rural
Wales,54,44075,Rural
Wales,55,44656,Rural
Wales,56,45647,Rural
Wales,57,45163,Rural
Wales,58,44244,Rural
Wales,59,42962,Rural
Wales,60,42011,Rural
Wales,61,40572,Rural
Wales,62,39940,Rural
Wales,63,39334,Rural
Wales,64,37749,Rural
Wales,65,35673,Rural
Wales,66,35679,Rural
Wales,67,36439,Rural
Wales,68,35417,Rural
Wales,69,34433,Rural
Wales,70,34832,Rural
Wales,71,35370,Rural
Wales,72,35810,Rural
Wales,73,38255,Rural
Wales,74,37069,Rural
Wales,75,28188,Rural
Wales,76,29490,Rural
Wales,77,26707,Rural
Wales,78,25347,Rural
Wales,79,21765,Rural
Wales,80,20159,Rural
Wales,81,19078,Rural
Wales,82,17940,Rural
Wales,83,16589,Rural
Wales,84,15228,Rural
Wales,85,13443,Rural
Wales,86,12036,Rural
Wales,87,10265,Rural
Wales,88,9237,Rural
Wales,89,7877,Rural
Wales,90,6792,Rural
Wales,91,5524,Rural
Wales,92,4410,Rural
Wales,93,3468,Rural
Wales,94,2700,Rural
Wales,95,2101,Rural
Wales,96,1567,Rural
Wales,97,1078,Rural
Wales,98,741,Rural
Wales,99,536,Rural
Wales,100,800,Rural
West Midlands,0,63168,Rural
West Midlands,1,65849,Rural
West Midlands,2,67390,Rural
West Midlands,3,68082,Rural
West Midlands,4,70901,Rural
West Midlands,5,71609,Rural
West Midlands,6,71343,Rural
West Midlands,7,72922,Rural
West Midlands,8,76138,Rural
West Midlands,9,76288,Rural
West Midlands,10,76134,Rural
West Midlands,11,74885,Rural
West Midlands,12,75507,Rural
West Midlands,13,75185,Rural
West Midlands,14,72707,Rural
West Midlands,15,71321,Rural
West Midlands,16,72638,Rural
West Midlands,17,71167,Rural
West Midlands,18,70051,Rural
West Midlands,19,72308,Rural
West Midlands,20,71798,Rural
West Midlands,21,72702,Rural
West Midlands,22,73188,Rural
West Midlands,23,72690,Rural
West Midlands,24,73041,Rural
West Midlands,25,72130,Rural
West Midlands,26,72798,Rural
West Midlands,27,74425,Rural
West Midlands,28,75370,Rural
West Midlands,29,78280,Rural
West Midlands,30,80896,Rural
West Midlands,31,79915,Rural
West Midlands,32,79392,Rural
West Midlands,33,80758,Rural
West Midlands,34,78976,Rural
West Midlands,35,78151,Rural
West Midlands,36,77740,Rural
West Midlands,37,76319,Rural
West Midlands,38,75877,Rural
West Midlands,39,75053,Rural
West Midlands,40,77629,Rural
West Midlands,41,76093,Rural
West Midlands,42,71811,Rural
West Midlands,43,67242,Rural
West Midlands,44,67658,Rural
West Midlands,45,68975,Rural
West Midlands,46,71091,Rural
West Midlands,47,72671,Rural
West Midlands,48,76598,Rural
West Midlands,49,80822,Rural
West Midlands,50,82760,Rural
West Midlands,51,81528,Rural
West Midlands,52,83429,Rural
West Midlands,53,82363,Rural
West Midlands,54,82665,Rural
West Midlands,55,81709,Rural
West Midlands,56,81259,Rural
West Midlands,57,78642,Rural
West Midlands,58,77674,Rural
West Midlands,59,76244,Rural
West Midlands,60,73162,Rural
West Midlands,61,68986,Rural
West Midlands,62,67746,Rural
West Midlands,63,66356,Rural
West Midlands,64,63322,Rural
West Midlands,65,60093,Rural
West Midlands,66,59416,Rural
West Midlands,67,60021,Rural
West Midlands,68,57712,Rural
West Midlands,69,56515,Rural
West Midlands,70,56188,Rural
West Midlands,71,57669,Rural
West Midlands,72,58258,Rural
West Midlands,73,61491,Rural
West Midlands,74,60261,Rural
West Midlands,75,47406,Rural
West Midlands,76,50348,Rural
West Midlands,77,47728,Rural
West Midlands,78,43218,Rural
West Midlands,79,36823,Rural
West Midlands,80,34015,Rural
West Midlands,81,33795,Rural
West Midlands,82,32354,Rural
West Midlands,83,29442,Rural
West Midlands,84,27355,Rural
West Midlands,85,24067,Rural
West Midlands,86,21130,Rural
West Midlands,87,18396,Rural
West Midlands,88,16498,Rural
West Midlands,89,14333,Rural
West Midlands,90,12311,Rural
West Midlands,91,10094,Rural
West Midlands,92,7912,Rural
West Midlands,93,6213,Rural
West Midlands,94,4681,Rural
West Midlands,95,3491,Rural
West Midlands,96,2602,Rural
West Midlands,97,1799,Rural
West Midlands,98,1350,Rural
West Midlands,99,922,Rural
West Midlands,100,1330,Rural
